nom_adjudicatari,nif,nombre_contractes,total_import_iva_inclos
"BIKE-WORLD, SCP",J59931725,2,6860.34
BIMETRIC LABORATORIO DE PROCES,B66751553,1,16335.0
BIODIVERS BARCELONA SL,B66497272,2,21770.01
BIPOL.ART,G63728711,2,10206.35
BIT LAB CULTURAL SCCL.,F66942319,4,8762.81
"BLACK STUDIO, SL",B17945825,3,16111.07
BLAI PEREZ I JORDI RAMOS ARQUI,B65122731,1,18089.5
BLANC CELEBRACIONS SL,B63464994,6,66943.1
BLUE PROJECT MANAGEMENT & SERV,B64897192,12,94950.04999999999
BLUE PROJECT MANAGEMENT S.L.,B98908213,1,12584.0
"BM GEST-GIRONA 2000, SL",B17437245,1,13310.0
BOBINADOS CASTEL,A08954018,4,2407.84
BOLETIN ECONOMICO DE LA,B58899618,5,650.0
BOMARI S.L,B08855843,23,11080.539999999999
BONA VOLUNTAT EN ACCIÓ,G61400073,1,14632.74
BOPE BANCO OFICIAL DE PRUEBAS,S2000000F,1,2488.49
"BORCHERS, S.A.",A48049415,1,174240.0
BOS CONSULTING MILENIUM SL,B84139021,1,12705.0
BOTH PEOPLE & COMMS SL,B62934682,4,261880.30000000002
BOTIQUIN SANS S.L.U.,B64550247,1,121.2
BOTTCHER IBERICA S.A,A28939221,2,1599.98
"BRAIDINK, S.L.",B59307918,70,23240.420000000002
"BRAMONA IMPRESSIÓ DIGITAL, S.L",B61723979,3,741.58
BRANDING TIME SL,B66976739,1,12646.56
BRAVO GAMA SL,B59688960,1,1028.5
BRICK SERVEIS D'INTERIORISME S,B63427918,1,16637.5
BRICOMAT FERRETERIA Y SUMINIST,B67394312,4,39745.52
"BRING ON, S.L.",B66241001,6,48764.78
BROLL SOCIETAT COOP CATALANA L,F66890682,3,36437.94
BROTHERS CONTROL S.L.,B65863169,1,14011.8
BRUFAU CUSO ESTUDI D'ARQUITECT,B63393045,3,31930.69
BUGANVILIA CREACIONS ARTISTIQU,B63283311,1,767.14
"BUREAU VERITAS IBERIA, SLU",B28205904,1,32415.9
BUREAU VERITAS INSPECCION TEST,B08658601,2,15566.650000000001
BUSINESS PEOPLE RESEARCH. SL,B62918081,2,32397.75
BUSINESS STRENGTHS ENGINEERING,B61585410,8,482054.49
BYFACILITY SL & FOLCH STUDIO U,U67819326,1,296450.0
C.D. CARMELO DE BARCELONA,G58058256,1,1075.99
C.E. ADAMS EDICIONES VALBUENA,A28813244,2,316.49
"C.P. ALUART, S.L.",B60257649,1,29454.39
CABELLUT B.V.,853654980B01,1,2640.0
CAIXA D'EINES TEATRO LOS SENTI,G63881759,1,12000.0
CAIXABANK S A,A08663619,2,1065163.0
"CAL PINXO PALAUMAR 5,S.L.",B61721494,1,183.26
"CALAIX DE CULTURA, SL",B63033740,14,2749699.4699999997
CALÇATS QUEISALOS SL,B66752338,1,5774.12
CAMBRA OFIC COMERÇ IND. I NAVE,Q0873001B,1,10890.0
"CAMPERA SALMANTINA,S.L.",B80879083,2,2069.1000000000004
"CAMPIO ASSOCIATS, S.L.",B60327434,5,5082.610000000001
CAN CET CENTRE D'INSERCIÓ SOC.,B60759644,7,145711.94
"CANALETAS,S.A.",A08607913,3,1720.11
CANDELA ACCIÓ COMUNITÀRIA I,F63508410,1,12012.0
"CANON ESPAñA, S.A.",A28122125,21,42462.40000000001
"CARAT ESPAñA,S.A.",A28343358,29,6622666.979999999
CARBONELL DALMASES COMPAÑIA SR,C62355623,1,3630.0
CARDIAC FUTURE IDEA SL,B65931081,2,3020.0
CARITAS DIOCESANA DE BARCELONA,R0800314G,1,500.0
CARLES ENRICH STUDIO S.L.P.,B67093773,3,38641.35
"CARTONES COMPACTOS, SL",B08831349,3,17537.38
CARYOSA,B65005498,1,14154.28
"CASA ANITA LLIBRES, SRL",B63639579,2,4761.0
"CASA GAY, S.A.",A58484494,3,1778.53
CASACUBERTA MATIAS ARQUITECTOS,B64012198,1,9904.23
CASACUBERTA SL,B59132506,2,1620.13
CASAL DEL LA FONT DEN FARGUES,G64884489,2,2423.5
"CASCO ANTIGUO COMERCIAL, SL",B79683579,6,95212.68000000001
"CATALANA DE TOLDOS, SA",A58539529,1,11283.25
"CATALANA DE TREBALLS I OBRES,",B64812464,3,131776.61000000002
CATALANA D'OBRES 2006 SL,B64019482,1,40639.68
"CATALONIA UNIC,SL",B61506663,1,10339.45
"CATCH & CONTROL XX, SL",B62422159,1,5752.34
CATERING ARCASA SL,B08465601,1,1402.5
CATERING CUCHARA DE MADERA,B98433238,1,7084.0
CB'A GRAELL DESIGN SL,B83715631,2,6624.07
CBRE VALUATION ADVISORY SA,A85490217,1,2178.0
CBVSI SAFETY & WORK S.L.,B64286677,1,1598.17
CCALGIR S.L.,B17845116,1,1887.6
CDF SOCIEDAD COOOPERATIVA MADR,F86232840,1,726.0
CELOBERT ARQUITECTURA  ENGINYE,F65387177,1,8470.0
CENESEPRO SL,B64218381,1,11694.65
CENORMA SLU,B62829486,13,31516.02
CENTRAL DE VIAJES SL,B08323404,21,343608.02
CENTRAL HIPICA.COM SC,J65035529,1,9680.0
CENTRAL OPERATIVA COMERCIAL 30,B67561753,1,163.77
CENTRAL PARC DE BAIX LLOBREGAT,F66549494,3,1000.0
CENTRE CULTURAL SANT VICENÇ SA,G64854920,2,7503.79
CENTRE D' ESTUDIS S. MARTÍ PRO,G64874027,1,4595.0
CENTRE DE JARDINERIA SILS SA,A17161043,1,16393.45
CENTRE DE RECURSOS PER A EMPRE,B63458871,1,13310.0
CENTRE D'ESPLAI DRUIDA,G59084236,1,3750.0
CENTRE D'ESTUDIS AFRICANS C.A.,G58830852,1,5535.0
CENTRE D'ESTUDIS DEMOGRAFICS,Q5855973C,1,6388.8
CENTRE EXCURSIONISTA DE CATALU,G08944209,1,70.0
CENTRE MORAL INSTRUCTIU DE GRà,G08713273,2,2367.8
CENTRE RECURSOS INICIATIVES I,B59132670,1,15732.42
CENTRE SOCIAL DE SANTS,V58386087,1,8000.0
"CENTRO CATALAN DE GEOTECNIA,S.",B62488515,1,847.0
CENTRO CULT.Y DEPORTIVO DEL TU,G08543480,1,225.0
CENTRO DE INVESTIGACIÓN ECOLÓG,Q5850011G,1,1694.0
"CENTRO ESTUDIOS FINANCIEROS, S",B78272168,1,152.01
CENTROS DE ESTUDIOS CONSTITUCI,Q2811010D,1,69.75
CEPREVEN,G28423267,1,1459.26
"CERMASA, SL",B58374620,1,875.0
CERRAJERIA ARYE 5 SL,B65287948,1,14327.01
CERRAMIENTOS VADIA,B66739673,2,5227.2
"CERTIS OBRES I SERVEIS, SAU",A61126629,1,15863.1
CESPA SA,A82741067,1,10877.6
CESVA INSTRUMENTS SL,B08917023,1,95472.78
CET TRABAJOS SOLIDARIOS S.L,B63792550,22,10441.570000000003
CET10 LLEURE SL,B67166058,7,820060.4700000001
CHASING ELDORADO SL,B42948414,1,18029.0
CHECKMATE SERVEIS ESTRATÈGICS,B66749888,1,74586.82
CHEQUE DEJEUNER ESPAÑA SA,A78887049,1,73680.01
CHOFER-BUS S L,B62979612,1,286.0
CHROMA RESTAURACIO DE PATRIMON,B63697593,1,5566.0
CIFREAT S.L.,B59104422,1,45892.67
CINEMES GIRONA SL,B65251092,4,1996.5
"CINESI, SLU",B61156816,3,42964.68
CIRCULO ECUESTRE,G08247686,3,280.01
CIRCUTOR SA,A08513178,1,665.5
CITELUM IBERICA SA,A59087361,13,21808.390000000003
CITELUM ITALIA S.R.L.,W0117310C,1,17389923.69
CIVIC INICIATIVAS SOCIALES Y E,G59335166,5,265596.17
CIVILSITE SLP,B65137812,2,7804.5
"CLA CONSULTORIA, SL",B66610221,1,16758.5
CLACKSON MARKETING SL,B65717209,1,2420.0
CLAVELL CONSULTING SL,B66655036,1,17847.5
CLECE SA,A80364243,1,1174.99
CLICKSOUND SL,B66120890,1,10890.0
CLINICA VETERINARIA CALAFELL -,J61386835,5,19315.5
"CLOSA SEBASTIÀ, SL",B64947872,2,200960.62
CLUB DE BITLLES GUINARDÓ,G58723925,1,248.0
CLUB ESPORTIU JERONI DE MORAGA,G65515215,1,250.0
CLUB EXCURSIONISTA PICA D'ESTA,G08945313,1,2115.0
CLUB FUTBOL BARCELONETA,G58044108,1,0.0
CLUB JOVENTUT LES CORTS,G59874974,1,45192.0
CLUB LLEURESPORT DE BARCELONA,G60320132,4,268194.39
CLUB NATACIO ATLETIC-BARCELONE,G60221041,1,4380.0
CLUB NATACIO SANT ANDREU,G08494320,1,1800.0
CM COCIBOLCA SOCIEDAD LIMITADA,B67426296,2,16488.18
COBRA INSTALACIONES Y SERVICIO,A46146387,1,212309.23
"COBRA SISTEMAS DE SEGURIDAD, S",A81459737,2,191007.03
"CODEGRAM TECHNOLOGIES, SL",B65148900,1,15420.26
COELI PLATFORM SL,B66987462,1,16335.0
COL NAL SECRETARIOS INTERV Y D,Q2866023A,3,240.0
COL. OFICIAL DE PSICOLEGS DE C,Q5855028F,6,14696.24
COL.LECTIU D'ANALISTES SOCIALS,B64816838,1,13515.7
COL.LEGI CRIMINOLEGS DE CATALU,Q0802180J,1,6500.0
COL.LEGI EDUCADORES I EDUCADOR,Q5850040F,7,2174.99
COL.LEGI OF.BIBLIOTECARIS-DOCU,Q0878005H,1,60.0
COL.LEGI OFICIAL VETERINARIS B,Q0871001D,2,19952.5
COL·LEGI D'ECONOMISTES DE CATA,Q0802027C,1,52.74
COLATERAL PREMIER SL,B67348003,2,222.0
COLECTIC SCCL,F60939956,4,24160.07
"COLL-LECLERC, ARQUITECTOS,S.L.",B62528385,1,6048.79
COMA ARCHITECTURE & WORKS SL,B66004029,1,3146.0
COMART S.A.,A08186074,3,3965.77
COMEAL INSTALACIONES SL,B63858823,1,48382.14
COMEDORES BIOSCA S.A.,A58347014,1,1929.3
COMERCIAL BOLSERA S L,B63479034,8,225.71
"COMERCIAL CONTEL, S.A.",A58026634,35,201570.1
COMERCIAL DE INDUSTRIAS REUNID,A08973380,3,5349.71
COMERCIAL IMPALA SA,A08115255,4,54073.08
COMERCIAL PAZOS S.L.,B82849555,1,1506.75
COMERCIAL REPROGRAFICA Y MAQUI,A08774465,3,26139.71
COMISSIO CATALANA AJUDA AL REF,G63721963,12,263173.75
COMISSIÓ DE FESTES MAJORS C. R,V58526088,1,1500.0
COMMCEPTES ESTRATEGICS DE COMU,B65955528,11,21384.329999999998
COMMUNIA SCCL,F67481986,4,1089.0
COM-PACTO SOLUCIONES Y PROYECT,B87227385,1,1184.83
"COMPANYIA CENTRAL LLIBRETERA,",B60985363,2,47.190000000000005
COMPANYIA NOCTURNA TEATRE SL,B67508093,1,2090.0
COMPARTIR SL,B62157482,1,363.0
"COMUNICACIÓ 3.0, S.L.",B67528539,1,5082.0
"COMUNICACIO LAYETANA OFFICE, S",B64471121,1,3617.9
"COMUNICATECH CONSULTING, SL",B88531751,1,1185.8
COMUNITAT USUARIS GALERIES SER,E61421434,2,25741.68
CONCOCO COMUNICACION SL,B63918585,1,71995.0
CONNEX STAFF SL,B55546634,6,95904.6
"CONSDECOR, S.A.",A08762445,3,35536.27
CONSEJO SUPERIOR INVESTIG.CIEN,Q2818002D,1,343.2
CONSELL  COL. VETERINARIS CATA,Q5856091C,1,747.62
CONSELL CATALÀ LLIBRE INF I JU,V08983751,2,1200.0
CONSELL DE LA JOVENTUT DE BARC,V08825804,5,40171.58
CONSELL JOVENTUT DTE. VIIHORTA,G59168641,1,2990.0
CONSORC.DRASSANES REIALS I M.M,P5800029J,1,1067.22
CONSORCI ADMINIST.OBERTA CATAL,Q0801175A,1,1410.86
CONSORCI DE CULTURA CONTEMPORA,P5800017E,1,1144.66
CONSORCI MAR PARC SALUT BCN,S0800471E,2,15039.0
CONSORCI MERCAT DE LES FLORS,P0800194C,1,9779.22
CONSORCI MUSEU DE CIÈNCIES NAT,Q0801897J,2,1245.48
CONSORCIO DE TRANSITO Y ORGANI,B61104253,1,28050.67
CONSORZIO ARTIGIANO ARCOVALENO,B64512601,1,8370.78
CONSTRAULA ENGINYERIA I OBRES,A58142639,16,1036114.84
CONSTRUCCIÓN I RESTAURACIÓ ABA,B65022907,1,48379.43
CONSTRUCCIONES FERTRES S.L,B64410327,6,261615.34
CONSTRUCCIONES METALICAS CERRA,B59554295,1,1124.84
CONSTRUCCIONES Y MEJORAS SA TO,B57550816,1,240000.0
CONSTRUCCIONES Y SERVICIOS FAU,A58869892,20,958278.88
"CONSTRUCCIONES, INSTALACIONES",B60586005,1,3427.28
CONSTRUCIIONES METALICAS MEPAL,B61977567,1,5057.8
CONSULT.METODES I TECN. APLICA,B65522906,1,17980.6
"CONSULTIA IT, sl",B82745076,1,18122.17
CONSULTORIA DE PROJECTE GIRONA,B55356562,1,18110.07
CONSULTORIA TECNICA,B17525429,5,2682894.97
CONTENIDOS CULTURALES SUPERFLU,B67193821,1,11925.76
CONTEXTO 2011 SL,B65591489,5,4997.92
CONTIECONOMIA SL,B67502039,1,98538.0
CONTROL TECNICO PARA LA MEJORA,B85698090,1,17968.5
CONTROLLI DELTA SPAIN SA,A60034733,1,5459.21
CONTROL-PARKING SL,B59117192,1,18147.58
COODIN S.C.C.L,F66937319,4,54421.13999999999
"COOLTRA MOTOS, SL",B64146632,1,18000.0
COOP POPULAR VENDEDORES AMBULA,F67528067,1,10617.75
COOP. CULTURAL ROCA GUINARDA,F08525610,1,907.5
COOP. ESCOLA LLIURE EL SOL SCC,F59914994,2,17600.0
COOP.PROMOTORA MEDIOS AUDIOVIS,F08310013,2,43495.869999999995
"COOPERATIVA POSANT EN COMÚ, SC",F66655887,1,242.0
COOPSOC: LABORATORI D'IDEES SO,F67190371,8,223928.74
COORD.ENTITATS LLEIALTAT SANSE,G66881186,1,53.63
COORD.ENTITATS PRO PERSONES DI,V62858279,3,1065.0
COORDINADORA ACTIVITAT GRUPS R,G59349456,1,35441.49
COORDINADORA DE GESTION INGRES,A81982225,1,18089.5
COORDINADORA D'ENTITATS DEL PO,G59055525,5,35956.25
COORDINADORA INSERCIO SOCIO-LA,G61879383,2,29020.0
"COPERNIC TECHNOLOGIES, SL",B67073130,2,17345.59
"COPREDIJE, S.A.",A82003815,16,124115.75
COPY BLAU SL,B61393385,1,118.56
CORALMET CONSTRUCCIONES SL,B67093328,2,53520.03999999999
CORP.CLD SERV.URBANOS TRATAMIE,B08173411,1,568743360.56
CORPORACIÓ CATALANA DE MITJANS,A08849622,1,66550.0
CORPORACION DE ORGANIZACIONE Y,A08811085,4,2386.24
COSPLAAN SL,B63392955,1,46663.11
COSTA I CLIMENT SL,B62893227,1,6341.8
COSTAISA SA,A08224826,1,17950.35
COTCA SA,A08574816,6,39752.549999999996
"COUNT TRANSPORT, SL",B64445414,1,1058.75
COVECAR,B60338001,1,361.62
COYNSA DOS MIL S.L.,B59856351,1,39859.0
CPM CONSTRUCCIONES PINTURA Y M,A60649522,1,48054.45
"CRC OBRAS Y SERVICIOS, S.L.",B15387855,4,171268.56
"CREA INVERSIONS MOLINS, S.L.",B02697803,1,16335.0
"CREA MOBILIARIO 2014, SL",B66815150,1,16336.05
"CREACIENCIA, S.L.",B65212417,1,3629.76
CREMADES & CALVO-SOTELO ABOGAD,B91595959,1,14399.0
CREPROJECTS SOLUCIONES Y PROYE,B16968042,2,50555.5
CRESPIERA SIMO DIAGONAL ARQUIT,B64482565,4,7562.5
CRIELEC INSTAL·LACIONS SL,B60908126,1,1524.6
CRÍTIC SCCL,F66334806,2,28099.47
"CROBISER OBRES I SERVEIS,S.L.",B65634040,3,86255.95999999999
CROMA STUDIO DESIGN SL,B67249946,1,17726.5
CROQUIS DISSENYS MUNT.REALITZA,A08757957,3,29965.89
CRUZ ROJA ESPAÑOLA,Q2866001G,6,65222.19
CSI CENTRAL DE SUM. E INSTALAC,B60643715,2,177.87
CUALTIS S.L,B84527977,2,3852.82
CUATRECASAS GONÇALVES PEREIRA,B59942110,1,16819.0
CUBIT TECNOLOGIA E INFRAESTRUC,B83646067,1,6037.9
CUCHARA ASS. D'EMANCIPACIÓ ALI,G67402099,1,266.2
"CUCHILLAS MECANICAS MASSONS, S",B08186314,3,350.90000000000003
CULTURA DEL BE COMU SCCL,F67173138,1,726.0
CURCUMA SCCL ACCIO DIVERSITAT,F67128397,3,5030.0
"CUREBUSINESS, S.L.",B67296400,1,4840.0
CUSHMAN & WAKEFIELD SPAIN LTD.,W0061691B,1,6013.7
CYRESPA ARQUITECTONICO SL,B12325510,1,98902.33
"D.L.STARBAIX, SL",B64858400,1,1408.79
DACARQUITECTURA REHABILITACIO,B64205545,1,6594.5
DAIKIN AC SPAIN SA,A82527458,1,5943.52
D'ALEPH INICIATIVA Y ORGANIZAC,A63141170,1,5203.0
DATA ARQUITECTURA I ENGINYERIA,B64454770,1,18089.5
DATAKUSTIK GmbH,129322703,2,2913.6800000000003
DATAMARS IBERICA S.L.U.,B02164317,3,2162.27
"DBA MANAGEMENT CULTURAL, SL",B64915903,1,484.0
DDLAB INNOVACIÓN GESTIÓN Y DES,B64085954,2,15910.06
DECIMO X ARTE SL,B88283767,2,1633.5
DECLINAM SL,B65874059,4,92711.25
"DECORESPORT,S.A.",A08813743,1,4924.7
DEEP ECOSYSTEMS 500 UG,337754921,1,17545.0
DEKRA INDUSTRIAL SA,A08507915,1,15584.8
"DELGADO GINER SEGURETAT, S.L.",B65794174,2,30998.03
DELGADO PRODUCCIO OFFSET SL,B66745357,1,2199.83
"DELOITTE CONSULTING, SLU",B81690471,6,741286.37
"DELTA ENSYCON, SOCIEDAD LIMITA",B67218313,1,2541.0
"DELTAPUNT 3000, S.A.",A61110359,2,53652.79
DELVY ASESORES SL,B65873473,1,2420.0
DESARROLLO ORGANIZACION Y MOVI,A61722740,7,275021.07
DESARROLLO RESILIENCIA Y SOSTE,B88259346,1,6143.69
DESARROLLOS EMPRESARIALES NEBR,B65141855,1,1806.14
DESENVOLUPAMENTS AMBIENTALS RE,B17662446,1,48329.12
"DESHO, SA INSTALACIONES INDUST",A08927832,2,104099.62
DESPRES DEL SUICIDI-AS SUPERVI,G65836462,1,14000.0
DETERCO S.L.,B58073735,10,8343.429999999998
DEXTROMEDICA SL,B46149555,2,284.59000000000003
DEXTRON INGENIERÍA TELECOMUNIC,A08685273,1,461.98
DIARIO ABC SL,B82824194,1,3937.19
DICOTEI SL,B63631519,1,342.43
"DIELSE, S.L.",B78224268,1,17669.03
"DIFUSOR, ASSOCIACIÓ CULTURAL",G64363633,4,41624.0
DIGITAL INNSTINCT SL,B67504670,1,16456.0
"DIGITAL SCREEN, S.L.",B60673084,1,125.54
DIGRUP SCP,J67479071,1,18029.0
DILART APLICACIONS DE SENYALIT,B61794871,1,8677.81
DILOGRAF SL,B60467610,1,5714.86
DIMOBA SERVICIOS S.L.,B04307120,3,80184.53
DINSER SERVICIOS INFORMATICOS,B63126064,10,404118.89
DIOMCOOP SCCL,F66976135,2,6635.64
"DIOTRONIC,S.A.",A08338188,6,702.11
DIPUTACIO DE BARCELONA,P0800000B,2,515.64
DISEÑO Y DESARROLLO PROD.INFOR,B62195219,2,14852.48
"DISET CONTROL DE PLAGAS, S.L.",B67223552,1,4319.7
DISSENY TEA 3 SL,B61278982,1,46922.94
"DISTRIBUCIONES O¤ATE, S.L.",B08919557,1,10857.0
DISTRIBUIDORA DE MERCAT SOCIAL,F65941239,1,62.97
DISTRIBUIDORES AUTOM.DEBEBIDAS,A59408492,68,14760.370000000003
DISTRICTE 6 ARQUITECTES S.L.P.,B64079304,1,7078.5
DISTRIVET SL,B59944025,13,15880.380000000001
DITEC COMUNICACIONES SL.,B61130019,2,3411.81
"DIVERSPORT SPORT MANAGEMENT, S",B17711474,2,44111.26
"DIVISEGUR CATALUNYA, S.L.",B64461916,12,418946.88
DIYITE (DIGNITAT),G63412548,1,1645.0
DOBLE VIA (SERVEIS SOCIOEDUCAT,F62011812,2,281.0
DOICA GESTIÓN SL,B64659758,3,68989.65
"DOMMIA DESIGN STUDIO, S.L.",B66445081,2,2390.96
DOMOSTIL S.L.,B58770975,1,102.18
DONA CANÇO,G66133497,13,27339.25
DONES EN XARXA,G43884444,1,16335.0
DONOSTISOUND S.L.,B75029272,1,7730.85
DOSGEUVEARQUITECTURA SLP,B63676738,2,27138.059999999998
DOT MANAGEMENT CONSULTANTS SL,B66046707,3,246337.85
"DOUBLET IBERICA, S.A.",A58890682,1,4164.82
"DOX STYLE , SL",B64043714,8,17560.200000000004
"DRAGER SAFETY HISPANIA, SA",A83140012,10,158598.8
DRIBIA DATA RESEARCH SL,B66966763,1,17696.25
"DRIM MEDIO AMBIENTE,S.L.",B62314547,1,31312.6
"DROPEL XXI,S.L",B62395058,4,53421.49
"DRUCK-CHEMIE EIBERICA, S.L.",B63201461,1,406.56
"DSOLITAV CONTRACT, S.L.",B66054560,1,16940.0
DUATIS ARQUITECTES SLP,B55025936,5,37510.0
"DUERTO, S.L.",B60298304,1,421.08
"DUNA EDUCACIO,MOBILITAT I SOST",B62838172,1,18132.61
DUOCAN EDUCACIO CANINA SCP,J67296228,8,207253.13
DUPLICAT SERVEIS INFORMATICS S,B61306502,1,814.33
DURAN-SINDREU ASESORES LEGALES,B62340716,2,20812.0
DXC TECHNOLOGY SPAIN S.A.U.,A59425546,2,26912.71
E1DOS DINAMITZACIÓ SOCIAL SL,B63947238,2,44557.42
E3 SOLINTEG S.L.,B65281131,5,474999.29000000004
E3G INGENIERIA Y ENERGIA SL,B25417163,1,6715.5
"EACOM ENGINYERS I ARQUITECTES,",A60997665,5,250667.71999999997
"EBANISTERIA G.H.G., S.L.",B60470168,4,86810.61
EBRE DIGITAL SL,B55606925,1,3129.24
ECAFIR SL,B58309204,1,8712.0
ECAS ENTITATS CATALANES D'ACCI,G63228720,1,605.0
ECGN MOON CONSULTORIA SL,B66450032,1,17363.5
ECO ECOCIVIL ELECTROMUR GE SL,B73089542,2,64659.5
ECOAUTO SERVICIOS CARROCEROS,B64090236,1,10000.0
"ECOGESA XXI, S.L.",B61933396,1,7986.0
ECOINSTITUT SCCL,F65022683,1,9873.6
"ECOMANT 2005, SL",B63836555,1,47584.39
ECOPAYNET SERVICES & SOLUTIONS,B66664616,2,54950.94
ECOSERVEIS,G60037348,1,19057.5
"ECOTAXI BARCELONA, SL",B65837320,2,547617.91
ECOYMA SA,A58938549,4,6406.33
ECSA ENGINYERIA SLP,B66939778,6,45414.33
EDEN SPRINGS ESPAÑA SA,A62247879,12,18052.21
EDICIO DE PREMSA PERIODICA ARA,B65258261,2,25010.27
EDICIONES DEUSTO SA,A48028930,1,6756.0
"EDICIONES EL PAIS, SL",B85635910,1,21840.0
EDICIONES FRANCIS LEFEBVRE,A79216651,1,8268.93
EDICIONES PROFESIONALES DE LA,B63664544,1,166.92
EDICIONES REUNIDAS,A08435497,1,10752.06
EDICIONS CLARIANA SL,B65474843,1,29645.0
EDICIONS DEL NUVOL,B66917048,7,17547.420000000002
"EDICIONS SIDERALS, S.L.",B01961358,1,7798.0
"EDICOGIR, SL",B55339881,1,28438.53
"EDITORIAL ARANZADI, S.A. (SOC.",A81962201,1,70053.16
EDITORIAL TIRANT LO BLANCH S L,B46091179,1,2692.25
EDU BARCELONA DISENY URBA SL,B61607487,1,17840.14
"EDUSCOPI, SL",B66524836,2,7774.25
EDUVIC SCCL,F60709896,3,134755.72999999998
EGARANTE S.L.,B86669819,1,813.12
EGARSAT PREVENCIÓ,B64734528,2,702930.1
"EGARTOP, S.L.",B67075887,5,69596.56
EGUIBASO S.L.,B95969911,1,171.24
"EGUISOF, S.L.",B61150470,1,206987.44
EI! CASC ANTIC (ESPAI INCLUSIÓ,G58673807,1,12407.2
EIFFAGE ENERGIA SL,B02272490,2,66372.15
EIKONOS S.A.,A08948846,2,16094.1
EKONA SCCL,F66807264,4,14844.98
"EL CATERING DE LA BIBI, SL",B61733713,2,4281.2
"EL CORTE INGLES, S.A.",A28017895,20,183253.50999999998
EL DESPERTADOR SL,B66610791,1,1890.0
EL GLOBUS VERMELL AACC DIV.ARQ,G65943854,1,836.11
"EL GUATEQUE, AGENCIA DE",B66694886,5,54781.54
"EL MUNDO DEPORTIVO, SA",A59114082,1,739.8
EL PERIODICO DE CATALUNYA SLU,B66485343,2,32023.11
"EL PICCOLO CIRKUS, SCCL",F63039978,1,1149.5
EL XIRINGUITO PRODUCCIÓ TÈCNIC,B64825805,1,847.0
ELABTOXX S.L.,B67283226,1,919.6
ELECNOR SA,A48027056,14,42369.32000000001
ELECNOR SEGURIDAD SL,B83680132,9,496997.31000000006
ELECNOR SERVICIOS Y PROYECTOS,A79486833,16,190670.14999999997
ELECTRA SERVEIS INTEGRALS 2007,B64636475,4,72443.14
"ELECTRO ACUSTICA CONDAL, S.A.",A08866592,26,242915.27
ELECTRO NORMA S.A.,A08097693,1,372.0
"ELECTRO-BASANT, S.A.",A08912313,2,1406.0
ELECTROMEDICIONES KAINOS SA,A08101073,1,589.27
ELECTRONICS TECHNOLOGIES PLAST,B61059325,1,5020.29
EME KOMUNIKAZIOA,G95628558,1,50.0
"EMILIO DOMENECH MIRABET, SA",A08718272,10,21125.9
"EMILIO SEGARRA, SA",A08874661,239,72215.83000000002
EMMA-ENVIRONMENTAL MONITORING,B02874295,1,2178.0
EMPRESA SERVICIOS PROM.PUBLIC.,B58624180,1,9063.75
"EN ANTENA PRODUCCIONS, SL",B62608229,1,2758.8
"ENCUADERNADORA RAPID, S.C.C.L.",F62243597,1,154.88
ENDATA SL,B60907227,2,13922.2
"ENDERMAR, SL",B60936549,2,1947.0
ENDERROCS I ABOCAMENTS SL,B61865457,2,91489.86
ENERPRO SL,B63211569,1,27960.08
ENGINYERIA EMSER SL,B62724372,2,11064.279999999999
"ENGINYERIA, MUNTATGE I EQUIPAM",B60757192,14,46507.69
"ENGRUNES, RECUPERACIÓ, SLU",B64200264,5,45237.67
ENRIC ROVIRA S.L.,B60386372,1,992.38
"ENTORNO DIGITAL, S.A.",A61397212,1,181.5
ENVEL EUROPA SA,A25422015,5,1592.73
EPIM SCP,J65660680,1,11882.2
EQUALES ITC SL,B66172065,1,17961.45
"EQUIHEALTH VETERINARIOS , SL",B64171622,1,10000.0
EQUIP.I COMPLEMENTS HOSTALERIA,B65079600,1,4767.4
"EQUIPO SINGULAR, SL",B61009015,2,18945.440000000002
EQUUS LIFE S.L.,B65382780,2,25926.05
ERGOKIDS SL,B66113937,1,7852.05
"ES HOP UBIQUITOUS,S.L 0",B73816589,1,41745.0
ESCALA-B SOCIEDAD CIVIL PROFES,J67371468,1,4259.2
"E-SCENTIA GLOBAL, SOCIEDAD LIM",B66074402,6,5989.5
"ESCOFET 1886, S.A.",A08042764,1,5042.07
ESCOLA D´ART I SUPERIOR DE DIS,Q5856288E,1,7260.0
ESCOLA OFICIAL D'IDIOMES,Q5855855B,1,4972.8
ESFERA FACILITY SERVICES SL,B66564436,1,215.48
ESITEC ENERGIA SL,B66067117,1,15609.0
ESMOLET PRODUKZIOAK SL,B95924205,2,35561.9
"ESPAI AMBIENTAL,SCCL",F63645105,8,588142.8500000001
ESPAI CONEIX SCCL,F67013565,2,54958.36
ESPAI D'ANALISI SOCIAL SL,B62569108,7,260078.02
ESPAI I DIFUSIO SL,B64756802,1,16843.2
ESPORT3 SERVEIS ALTERNATIUS SL,B62068713,11,4954570.720000001
ESRI ESPAÑA SOLUC. GEOESPACIAL,B86900057,2,33790.46
ESSA ESTRUCTURA DE COMUNICACIO,B61278552,2,4126.1
"ESSA PUNT, SA",A62177027,2,18641.260000000002
ESTELEC INSTALACIONES INTEGRAL,B59875575,2,93818.13
"ESTEVET BARCELONA, S.L.",B65250243,3,337.40999999999997
"ESTRATEGIA MOMENTUMCO, S.L.",B66675935,4,616233.18
ESTRATEGIAS DE MOVILIDAD SOSTE,B64949373,1,6050.0
