nom_adjudicatari,nif,tipus_contractes,objecte,procediment,import_adjudicacio_net_sense_iva,import_adjudicacio_iva,nombre_contractes
CAMBRA OFIC COMERÇ IND. I NAVE,Q0873001B,Serveis,Anàlisi Enquesta Clima Empresarial 2021,Negociat sense publicitat,9000.0,10890.0,1
"CAMPERA SALMANTINA,S.L.",B80879083,Subministraments,Submin. mat. operatiu ii tècnic rep. per a la GUB,Menor A Genèrica,1710.0,2069.1000000000004,2
"CAMPIO ASSOCIATS, S.L.",B60327434,Serveis,ATENCIONS PROTOCOL·LÀRIES i REPRESENTATIVES 2021,Menor A Genèrica,1790.0,2165.9,3
CAN CET CENTRE D'INSERCIÓ SOC.,B60759644,Serveis,Despeses de menor quantia Comunicació,Menor A Genèrica,357.0,431.97,1
"CANALETAS,S.A.",A08607913,Serveis,MANTENIMENT FONT D'AIGUA REFRIGERADA CANALETAS,Menor,131.0,158.51,1
CANDELA ACCIÓ COMUNITÀRIA I,F63508410,Serveis,Projecte d’intervenció educativa,Menor,12012.0,12012.0,1
"CANON ESPAñA, S.A.",A28122125,Serveis,Còpies i manteniment  2 fotocopiadores CANON,Menor,1652.89,2000.0,1
"CARAT ESPAñA,S.A.",A28343358,Serveis, ACCIO ESPECIAL SUPLEMENTS LLEURE 2021,Basat en Acord Marc,141322.31,171000.0,1
CARBONELL DALMASES COMPAÑIA SR,C62355623,Serveis,T - D.O. Proj semaf cruïlla Fastenrath-Sta Rosalia,Menor,3000.0,3630.0,1
CARDIAC FUTURE IDEA SL,B65931081,Serveis,Manteniment integral del Servei de Cardioprotecció,Menor,2495.86,3020.0,2
CARITAS DIOCESANA DE BARCELONA,R0800314G,Serveis,Col·laboració Jurat Premi Montserrat Roig 2020,Menor A Genèrica,500.0,500.0,1
CARLES ENRICH STUDIO S.L.P.,B67093773,Serveis,REDAC. PROJ. REURBANITZACIÓ VORES REC COMTAL VALLB,Menor,12000.0,14520.0,1
"CARTONES COMPACTOS, SL",B08831349,Subministraments,Subministrament caixes arxiu documentació,Obert simplificat abreujat,11795.0,14271.95,1
CARYOSA,B65005498,Subministraments,Subministrament elèctrodes DEAs pels vehicles GUB,Menor,11697.75,14154.28,1
"CASA ANITA LLIBRES, SRL",B63639579,Serveis,COMISSARIAT ARTÍSTICO-LITERÀRI BCN INFANTIL I JOVE,Menor,3000.0,3630.0,1
"CASA GAY, S.A.",A58484494,Serveis,Despeses atencions protocol.àries Ciència,Menor A Genèrica,650.0,786.5,1
CASACUBERTA MATIAS ARQUITECTOS,B64012198,Serveis,Redacció proj i DO pg Turull 14 i Finca Sansalvado,Menor,8185.31,9904.23,1
CASACUBERTA SL,B59132506,Serveis,Reparacions de vehicles GUB de propietat,Menor A Genèrica,418.95,506.93,1
CASAL DEL LA FONT DEN FARGUES,G64884489,Serveis,ACTIVITATS CULTURALS CICLE DE CLÀSSICA,Menor A Genèrica,350.0,423.5,1
"CASCO ANTIGUO COMERCIAL, SL",B79683579,Subministraments,Manteniment de material rescat aquàtic,Obert simplificat abreujat,15445.8,18689.42,1
"CATALANA DE TOLDOS, SA",A58539529,Subministraments,Subministrament i col·loc. tendal terrat Can Carol,Menor,9325.0,11283.25,1
"CATALANA DE TREBALLS I OBRES,",B64812464,Obres,LC - Inst bany i arranjamen paviment c. Capcir,Menor,39982.36,48378.66,1
CATALANA D'OBRES 2006 SL,B64019482,Obres,ENDERROC MUR TORRE DEL FANG I MILLORA VISIBILITAT,Menor,33586.51,40639.68,1
"CATALONIA UNIC,SL",B61506663,Serveis,LLOGUER I INSTAL·LACIÓ DE BASTIDES EXPO FOTÒGRAFES,Menor,8545.0,10339.45,1
"CATCH & CONTROL XX, SL",B62422159,Serveis,Suport GU activitat Reis-altres actes festius 2022,Menor,4754.0,5752.34,1
CATERING ARCASA SL,B08465601,Serveis,Servei de càtering Seminari d'Educació Inclusiva,Menor,1275.0,1402.5,1
CATERING CUCHARA DE MADERA,B98433238,Serveis,Càtering Jornada Directiva,Menor,6440.0,7084.0,1
CB'A GRAELL DESIGN SL,B83715631,Serveis,Despeses d'actes i esdeveniments de Participació,Menor A Genèrica,3000.0,3630.0,1
CBRE VALUATION ADVISORY SA,A85490217,Serveis,Estimació de preu inmoble Carrer Peru 254,Menor,1800.0,2178.0,1
CBVSI SAFETY & WORK S.L.,B64286677,Subministraments,Subministrament despeses menor quantia Direcció de,Menor A Genèrica,1320.8,1598.17,1
CCALGIR S.L.,B17845116,Serveis,Supervisió programa EUROMUS per SPEIS,Menor,1560.0,1887.6,1
CDF SOCIEDAD COOOPERATIVA MADR,F86232840,Serveis,"Joventut, organització d'actes i activitats",Menor A Genèrica,600.0,726.0,1
CELOBERT ARQUITECTURA  ENGINYE,F65387177,Serveis,Proposta per a l’ordenació de l’entorn de la Llosa,Menor,7000.0,8470.0,1
CENESEPRO SL,B64218381,Subministraments,Subministrament d’infraestructures pel Nadal,Menor,9665.0,11694.65,1
CENORMA SLU,B62829486,Serveis,Reparació d'equips electrònics,Menor A Genèrica,3709.14,4488.07,6
CENTRAL DE VIAJES SL,B08323404,Serveis,Despeses de serveis de viatges,Basat en Acord Marc,3553.72,4300.0,1
CENTRAL HIPICA.COM SC,J65035529,Subministraments,Submin. mat. hípic UM GUB,Menor,8000.0,9680.0,1
CENTRAL OPERATIVA COMERCIAL 30,B67561753,Subministraments,Kit de subjecció de radar pedagògic a fanal,Menor,135.35,163.77,1
CENTRAL PARC DE BAIX LLOBREGAT,F66549494,Serveis,"Educació ambiental, organització d'actes i activit",Menor A Genèrica,1000.0,1000.0,3
CENTRE CULTURAL SANT VICENÇ SA,G64854920,Serveis,Cicle Dones i Compositores de Districte,Menor,4350.0,5263.5,1
CENTRE D' ESTUDIS S. MARTÍ PRO,G64874027,Serveis,Redacció 3 rutes per redescobrir zona riu Besòs,Menor,4595.0,4595.0,1
CENTRE DE JARDINERIA SILS SA,A17161043,Subministraments,"Compensació verd afectat finca c/Encarnació, 13-17",Menor,14903.14,16393.45,1
CENTRE DE RECURSOS PER A EMPRE,B63458871,Serveis,"Servei obertura, tancament i inventari coworkers",Menor,11000.0,13310.0,1
CENTRE D'ESPLAI DRUIDA,G59084236,Serveis,CASAL D'HIVERN A LA PROSPERITAT,Menor,3750.0,3750.0,1
CENTRE D'ESTUDIS AFRICANS C.A.,G58830852,Serveis,Salut mental perspectiva intercultural comunitàra,Menor,4574.38,5535.0,1
CENTRE D'ESTUDIS DEMOGRAFICS,Q5855973C,Serveis,Caracterització demogràfica actual i projeccions,Menor,5280.0,6388.8,1
CENTRE EXCURSIONISTA DE CATALU,G08944209,Serveis,DRETS DE REPRODUCCIÓ DE FOTOGRAFIES,Menor,57.85,70.0,1
CENTRE MORAL INSTRUCTIU DE GRà,G08713273,Serveis,Despeses diverses Premis Vila de Gracia i altres,Menor A Genèrica,180.0,217.8,1
CENTRE RECURSOS INICIATIVES I,B59132670,Serveis,ACTIVITATS DE LLEURE FAMILIAR A ROQUETES,Menor,13002.0,15732.42,1
CENTRE SOCIAL DE SANTS,V58386087,Serveis,Assessorament veïns Calaix Sants i Can Batlló,Menor,8000.0,8000.0,1
"CENTRO CATALAN DE GEOTECNIA,S.",B62488515,Serveis,Treballs topografia solar Consell Cent/Calàbria,Menor,700.0,847.0,1
CENTRO CULT.Y DEPORTIVO DEL TU,G08543480,Serveis,ACTIVIT PUNTUALS ESDEVENIMENTS PROMOCIÓ ECONÒMICA,Menor A Genèrica,225.0,225.0,1
CENTRO DE INVESTIGACIÓN ECOLÓG,Q5850011G,Serveis,Projectes de recerca de Ciència Ciutadana Escoles,Menor A Genèrica,1400.0,1694.0,1
"CENTRO ESTUDIOS FINANCIEROS, S",B78272168,Privat d'Administració Pública,Subscripcions revistes Gerències i Districtes 2021,Menor A Genèrica,146.16,152.01,1
CENTROS DE ESTUDIOS CONSTITUCI,Q2811010D,Privat d'Administració Pública,Subscripcions revistes Gerències i Districtes 2021,Menor A Genèrica,65.09,69.75,1
CEPREVEN,G28423267,Serveis,Formació en instal·lacions de control de fums SPEI,Menor,1206.0,1459.26,1
"CERMASA, SL",B58374620,Subministraments,medicaments i zoosanitaris pel CAACB,Menor A Genèrica,875.0,875.0,1
CERRAJERIA ARYE 5 SL,B65287948,Obres,OBRES TANCA POSTERIOR EQUIPAMENT TORRE SAGRERA,Menor,11840.5,14327.01,1
CERRAMIENTOS VADIA,B66739673,Serveis,Gestió d'atencions protocol·làries actes SPiT,Menor A Genèrica,100.0,121.0,1
"CERTIS OBRES I SERVEIS, SAU",A61126629,Obres,SG - Adeq. prov. entorns masia Can Soler horts urb,Menor,13110.0,15863.1,1
CESPA SA,A82741067,Serveis,EXECUCIÓ SUBSIDIARIA TERRASSES,Menor,8989.75,10877.6,1
CESVA INSTRUMENTS SL,B08917023,Serveis,Manteniment dels equips de mesura i control soroll,Negociat sense publicitat,78903.12,95472.78,1
CET TRABAJOS SOLIDARIOS S.L,B63792550,Subministraments,Adq. mat. fungible informàtica per equip,Menor A Genèrica,5123.24,6199.12,7
CET10 LLEURE SL,B67166058,Serveis,ACTIVITATS PUNTUALS EN L'ÀMBIT EDUCATIU,Menor A Genèrica,643.5,707.85,1
CHASING ELDORADO SL,B42948414,Serveis,"CAMPANYA COMUNICACIÓ MARCA “CUIDEM BARCELONA""",Menor,14900.0,18029.0,1
CHECKMATE SERVEIS ESTRATÈGICS,B66749888,Serveis,Diagnòstic Zones d'Usos Compartits (ZUC),Obert,61642.0,74586.82,1
CHEQUE DEJEUNER ESPAÑA SA,A78887049,Subministraments,SUBMINISTRAMENT I GESTIÓ DE XECS DE RESTAURANT,Obert simplificat,73610.76,73680.01,1
CHOFER-BUS S L,B62979612,Serveis,ACTIVIT PUNTUALS ESDEVENIMENTS PROMOCIÓ ECONÒMICA,Menor A Genèrica,260.0,286.0,1
CHROMA RESTAURACIO DE PATRIMON,B63697593,Serveis,REDACCIO ESTUDIS XALET TRINITAT I GRANJA RITZ,Menor,4600.0,5566.0,1
CIFREAT S.L.,B59104422,Obres,"Micropilons cm.Mas Sauró, 37",Menor,37927.83,45892.67,1
CINEMES GIRONA SL,B65251092,Serveis,Activitats 25 Aniversari dels Acords Dayton 2021,Menor A Genèrica,400.0,484.0,1
"CINESI, SLU",B61156816,Serveis,ESTUDI MOBILITAT SARRIA NORD,Menor,11700.0,14157.0,1
CIRCULO ECUESTRE,G08247686,Serveis,Atencions protocol•làries per la Gerència Recursos,Menor A Genèrica,254.55,280.01,3
CIRCUTOR SA,A08513178,Serveis,Servei de reparacions i revisions equips i inst.,Menor A Genèrica,550.0,665.5,1
CITELUM IBERICA SA,A59087361,Obres,Renovació 3 quadres elèctrics Rambla,Menor,10313.26,12479.04,1
CITELUM ITALIA S.R.L.,W0117310C,Serveis,"Zona A, districtes 1, 2 i 3",Restringit,14371837.77,17389923.69,1
CIVIC INICIATIVAS SOCIALES Y E,G59335166,Serveis,DINAMITZACIÓ CULTURAL AL BARRI DE TRINITAT NOVA,Menor,14999.0,18148.79,1
CIVILSITE SLP,B65137812,Serveis,DO SEPTIMANIA ENTRE C_SARAGOSSA I PL. SANT JOAQUIM,Menor,2900.0,3509.0,1
"CLA CONSULTORIA, SL",B66610221,Serveis,Informe avaluador incidència dels APEUs,Menor,13850.0,16758.5,1
CLACKSON MARKETING SL,B65717209,Serveis,Despeses  de menor quantia Participació,Menor A Genèrica,2000.0,2420.0,1
CLAVELL CONSULTING SL,B66655036,Serveis,Suport a la redacció del nou contracte del SIMIODA,Menor,14750.0,17847.5,1
CLECE SA,A80364243,Subministraments,Adquisició de material fungible,Menor A Genèrica,971.07,1174.99,1
CLICKSOUND SL,B66120890,Serveis,Peces multimedia audiovisuals,Obert simplificat abreujat,9000.0,10890.0,1
CLINICA VETERINARIA CALAFELL -,J61386835,Subministraments,Compra productes protecció climàtica animals CAACB,Menor,11100.52,13431.63,1
"CLOSA SEBASTIÀ, SL",B64947872,Subministraments,Material Pla Ocupació Barcelona Activa,Menor,483.16,584.62,1
CLUB DE BITLLES GUINARDÓ,G58723925,Serveis,ACTIVITATS FOMENT PRÀCTICA ESPORTIVA,Menor A Genèrica,248.0,248.0,1
CLUB ESPORTIU JERONI DE MORAGA,G65515215,Subministraments,DESPESES PROTOCOL·LÀRIES 4T. TRIMESTRE 2021,Menor A Genèrica,250.0,250.0,1
CLUB EXCURSIONISTA PICA D'ESTA,G08945313,Serveis,Taller d’escalada amb corda,Menor,2115.0,2115.0,1
CLUB FUTBOL BARCELONETA,G58044108,CONCESSIONS DE SERVEIS,Gestió i explotació camp Futbol Parc Catalana,Restringit,0.0,0.0,1
CLUB JOVENTUT LES CORTS,G59874974,CONCESSIONS DE SERVEIS,GESTIÓ I EXPLOTACIÓ DE LA IME PAVELLÓ L’ILLA,Restringit,45192.0,45192.0,1
CLUB LLEURESPORT DE BARCELONA,G60320132,Serveis,Despeses menor quantia - Punts suport pressupostos,Menor A Genèrica,330.31,399.68,1
CLUB NATACIO ATLETIC-BARCELONE,G60221041,Serveis,Formació física CEM San Sebastià per la GUB,Menor,4380.0,4380.0,1
CLUB NATACIO SANT ANDREU,G08494320,Serveis,Formació física GUB CEM Sant Andreu,Menor,1800.0,1800.0,1
CM COCIBOLCA SOCIEDAD LIMITADA,B67426296,Serveis,Subministrament de mampares,Menor,4764.3,5764.8,1
COBRA INSTALACIONES Y SERVICIO,A46146387,Obres,Obres d'estalvi energètic camp futbol Nou Sardenya,Obert simplificat,175462.17,212309.23,1
"COBRA SISTEMAS DE SEGURIDAD, S",A81459737,Serveis,Manteniment de les Galeries de 22@,Obert,145396.94,175930.3,1
"CODEGRAM TECHNOLOGIES, SL",B65148900,Serveis,Servei manteniment Decidim.Barcelona,Menor,12744.02,15420.26,1
COELI PLATFORM SL,B66987462,Serveis,Consolidació i millora Coeli Concepts del SEDAC,Menor,13500.0,16335.0,1
COL NAL SECRETARIOS INTERV Y D,Q2866023A,Privat d'Administració Pública,Subscripcions revistes Gerències i Districtes 2021,Menor A Genèrica,148.76,180.0,2
COL. OFICIAL DE PSICOLEGS DE C,Q5855028F,Serveis,actes de mediació,Menor A Genèrica,1020.66,1234.99,5
COL.LECTIU D'ANALISTES SOCIALS,B64816838,Serveis,ACOMPANYAMENT ESTRATEGIA ÈXIT EDUCATIU,Menor,11170.0,13515.7,1
COL.LEGI CRIMINOLEGS DE CATALU,Q0802180J,Serveis,Formació en Policia de Barri GUB,Menor,6500.0,6500.0,1
COL.LEGI EDUCADORES I EDUCADOR,Q5850040F,Serveis,actes de mediació,Menor A Genèrica,1797.4999999999998,2174.99,7
COL.LEGI OF.BIBLIOTECARIS-DOCU,Q0878005H,Privat d'Administració Pública,Subscripcions revistes Gerències i Districtes 2021,Menor A Genèrica,57.69,60.0,1
COL.LEGI OFICIAL VETERINARIS B,Q0871001D,Serveis,Serv de col•legiació de les veterinàries del CAACB,Menor,1814.6,1814.6,1
COL·LEGI D'ECONOMISTES DE CATA,Q0802027C,Privat d'Administració Pública,Subscripcions revistes Gerències i Districtes 2021,Menor A Genèrica,50.71,52.74,1
COLATERAL PREMIER SL,B67348003,Serveis,Despeses menors actes puntuals no recurrents,Menor A Genèrica,84.3,102.0,1
COLECTIC SCCL,F60939956,Serveis,Anàlisi de l’entorn per millors canals de comunica,Menor,8052.0,9742.92,1
"COLL-LECLERC, ARQUITECTOS,S.L.",B62528385,Serveis,Projecte modificació replans Allotjaments Tànger,Menor,4999.0,6048.79,1
COMA ARCHITECTURE & WORKS SL,B66004029,Serveis,"Redac.proj., DF i CSS xarxa seguretat CPT Sag.Fam.",Menor,2600.0,3146.0,1
COMART S.A.,A08186074,Subministraments,Material tècnic no homologat,Menor A Genèrica,3277.5,3965.77,3
COMEAL INSTALACIONES SL,B63858823,Obres,"Plaques fotovoltaiques d’autoconsum C/ Ogassa, 2.",Menor,39985.24,48382.14,1
COMEDORES BIOSCA S.A.,A58347014,Serveis,Servei de monitoratge de l’escola de la Concepció,Menor,1929.3,1929.3,1
COMERCIAL BOLSERA S L,B63479034,Serveis,Compra de serveis i actes culturals,Menor A Genèrica,28.51,34.5,1
"COMERCIAL CONTEL, S.A.",A58026634,Serveis,Despeses menors actes puntuals no recurrents,Menor A Genèrica,159.85,193.42,1
COMERCIAL DE INDUSTRIAS REUNID,A08973380,Subministraments,BANCS PER A VESTIDOR GUÀRDIA URBANA NOU BARRIS,Menor,1163.28,1407.57,1
COMERCIAL IMPALA SA,A08115255,Serveis,Manteniment Vehicles Parc Mòbil,Menor A Genèrica,1004.49,1215.44,3
COMERCIAL PAZOS S.L.,B82849555,Subministraments,ARCS-EINES-COMPLEMENT REPARACIÓ INSTRUM. ORQ.VOZES,Menor,1245.25,1506.75,1
COMERCIAL REPROGRAFICA Y MAQUI,A08774465,Serveis,Manteniment i copies fotocopiadores SHARP,Menor,14990.5,18138.51,1
COMISSIO CATALANA AJUDA AL REF,G63721963,Serveis,Acolliment Lot 1 - Abril  - CCAR,Basat en Acord Marc,22942.5,22942.5,1
COMISSIÓ DE FESTES MAJORS C. R,V58526088,Serveis,Suport a activitats ocasionals no recurrents,Menor A Genèrica,1500.0,1500.0,1
COMMCEPTES ESTRATEGICS DE COMU,B65955528,Serveis,AUTORITZACIÓ GENÈRICA DE DESPESA,Menor A Genèrica,845.0,1022.45,1
COMMUNIA SCCL,F67481986,Serveis,"Dones, organització d'actes i activitats",Menor A Genèrica,900.0,1089.0,4
COM-PACTO SOLUCIONES Y PROYECT,B87227385,Privat d'Administració Pública,Subscripcions revistes Gerències i Districtes 2021,Menor A Genèrica,979.2,1184.83,1
"COMPANYIA CENTRAL LLIBRETERA,",B60985363,Subministraments,Adquisició de material fungible,Menor A Genèrica,45.37,47.190000000000005,2
COMPANYIA NOCTURNA TEATRE SL,B67508093,Serveis,Formació Prevenció del suïcidi,Menor,2090.0,2090.0,1
COMPARTIR SL,B62157482,Serveis,Despeses diverses Premis Vila de Gracia i altres,Menor A Genèrica,300.0,363.0,1
"COMUNICACIÓ 3.0, S.L.",B67528539,Serveis,Dinamització comercial entorn Vallcarca,Menor,4200.0,5082.0,1
"COMUNICACIO LAYETANA OFFICE, S",B64471121,Serveis,AUTORITZACIÓ GENÈRICA DE DESPESA,Menor A Genèrica,2990.0,3617.9,1
"COMUNICATECH CONSULTING, SL",B88531751,Serveis,Despeses producció esdeveniments Ciència 2021,Menor A Genèrica,980.0,1185.8,1
COMUNITAT USUARIS GALERIES SER,E61421434,Serveis,Centre de Control de les Galeries,Menor,7091.37,8580.56,1
CONCOCO COMUNICACION SL,B63918585,Serveis,DISSENY CREATIVITAT CAMPANYES 1A I 3A,Obert simplificat abreujat,59500.0,71995.0,1
CONNEX STAFF SL,B55546634,Serveis,ASS. TÈCNIC SISTEMA DE GOVERNANÇA GESTIÓ WEB,Menor,4970.0,6013.7,1
"CONSDECOR, S.A.",A08762445,Serveis,Treballs de fotocòpies i enquadernacions EU,Menor,13750.0,16637.5,1
CONSEJO SUPERIOR INVESTIG.CIEN,Q2818002D,Privat d'Administració Pública,Subscripció base de dades CSIC 2021,Menor,330.0,343.2,1
CONSELL  COL. VETERINARIS CATA,Q5856091C,Subministraments,medicaments i zoosanitaris pel CAACB,Menor A Genèrica,617.87,747.62,1
CONSELL CATALÀ LLIBRE INF I JU,V08983751,Serveis,ACTIVITATS PUNTUALS A LA ZONA NORD,Menor A Genèrica,600.0,600.0,1
CONSELL DE LA JOVENTUT DE BARC,V08825804,Serveis,Actualització Guia de Sexualitats,Menor,11640.0,14084.4,1
CONSELL JOVENTUT DTE. VIIHORTA,G59168641,Serveis,ACTIVITATS CULTURALS CENTRES CÍVICS I CASALS BARRI,Menor A Genèrica,2990.0,2990.0,1
CONSORC.DRASSANES REIALS I M.M,P5800029J,Serveis,Despeses de menor quantia Comunicació,Menor A Genèrica,882.0,1067.22,1
CONSORCI ADMINIST.OBERTA CATAL,Q0801175A,Serveis,Despeses menors actes puntuals no recurrents,Menor A Genèrica,1166.0,1410.86,1
CONSORCI DE CULTURA CONTEMPORA,P5800017E,Serveis,Despeses relacionades amb producció d'actes,Menor A Genèrica,946.0,1144.66,1
CONSORCI MAR PARC SALUT BCN,S0800471E,Serveis,Formació en Prevenció del Suicidi per la GUB,Menor,2355.0,2355.0,1
CONSORCI MERCAT DE LES FLORS,P0800194C,Serveis,Activitats Viu Montjuïc Mercat de les Flors,Menor,8082.0,9779.22,1
CONSORCI MUSEU DE CIÈNCIES NAT,Q0801897J,Serveis,Despeses d'actes puntuals de la Gerència Municipal,Menor A Genèrica,652.6,789.65,1
CONSORCIO DE TRANSITO Y ORGANI,B61104253,Serveis,SERVEI TRANSPORT DISTRICTE NOU BARRIS,Obert,23182.37,28050.67,1
CONSORZIO ARTIGIANO ARCOVALENO,B64512601,Serveis,Direcció artística obres de restauració façana seu,Menor,6918.0,8370.78,1
CONSTRAULA ENGINYERIA I OBRES,A58142639,Obres,BG - Condicionament acústic A.V. Baix Guinardó,Menor,38884.05,47049.7,1
CONSTRUCCIÓN I RESTAURACIÓ ABA,B65022907,Obres,Obres millora infraestructures i elements urbans,Menor,39983.0,48379.43,1
CONSTRUCCIONES FERTRES S.L,B64410327,Obres,Obres coberta Maria Manonelles,Obert simplificat,43750.0,52937.5,1
CONSTRUCCIONES METALICAS CERRA,B59554295,Subministraments,Subm. i instal·lació vidre Biblioteca Sofia Barat,Menor,929.62,1124.84,1
CONSTRUCCIONES Y MEJORAS SA TO,B57550816,Obres,Obres magatzem jardins del Dr. Pla i Armengol,Obert simplificat,198347.11,240000.0,1
CONSTRUCCIONES Y SERVICIOS FAU,A58869892,Obres,BG - Actualització parallamps Seu Dte.,Menor,5013.62,6066.48,1
"CONSTRUCCIONES, INSTALACIONES",B60586005,Subministraments,Petit Mant i reparacions CAACB i colonies 2021,Menor A Genèrica,2832.46,3427.28,1
CONSTRUCIIONES METALICAS MEPAL,B61977567,Obres,G - Reixa tancament lateral passadís seu Dte,Menor,4180.0,5057.8,1
CONSULT.METODES I TECN. APLICA,B65522906,Serveis,Suport 10è aniversari Xarxa Drets Infants,Menor,14860.0,17980.6,1
"CONSULTIA IT, sl",B82745076,Serveis,Adaptació en el SAP-ECOFIN inventari vehicles GUB,Menor,14977.0,18122.17,1
CONSULTORIA DE PROJECTE GIRONA,B55356562,Serveis,Redac.proj. instal·Climatització Bibl. Joan Oliver,Menor,14967.0,18110.07,1
CONSULTORIA TECNICA,B17525429,Serveis,Determinació Matrius OD Rondes,Menor,14500.0,17545.0,1
CONTENIDOS CULTURALES SUPERFLU,B67193821,Serveis,Activitats Viu Montjuïc Superflua,Menor,9856.0,11925.76,1
CONTEXTO 2011 SL,B65591489,Serveis,Producció d’articles de promoció,Menor A Genèrica,1322.0,1599.62,1
CONTIECONOMIA SL,B67502039,Serveis,"Suport, desenvolupament, coordinació projecte EDEC",Obert,89580.0,98538.0,1
CONTROL TECNICO PARA LA MEJORA,B85698090,Serveis,Assessorament pla treball pilot oficina virtual,Menor,14850.0,17968.5,1
CONTROLLI DELTA SPAIN SA,A60034733,Serveis,Ampliació software Scada remot clima ed.GR,Menor,4511.74,5459.21,1
CONTROL-PARKING SL,B59117192,Serveis,Servei reparació portes automàtiques GUB i SPEIS,Menor,14998.0,18147.58,1
COODIN S.C.C.L,F66937319,Serveis,ACTIVITATS DE COMERÇ A L'AIRE LLIURE,Menor,14875.21,17999.0,1
"COOLTRA MOTOS, SL",B64146632,Serveis,Reparacions 11 motos trail elèctriques GUB,Menor,14876.03,18000.0,1
COOP POPULAR VENDEDORES AMBULA,F67528067,Subministraments,PRODUCCIÓ BOSSES DE COTÓ CAMPANYA FESTES MERCÈ,Menor,8775.0,10617.75,1
COOP. CULTURAL ROCA GUINARDA,F08525610,Serveis,MEMÒRIA HISTÒRICA,Menor A Genèrica,750.0,907.5,1
COOP. ESCOLA LLIURE EL SOL SCC,F59914994,Serveis,Cursos de monitor/a activitats de lleure infantil,Menor,10700.0,10700.0,1
COOP.PROMOTORA MEDIOS AUDIOVIS,F08310013,Privat d'Administració Pública,ENCÀRREC D'OBRA LLIBRE MOSTRA INT. FILMS DE DONES,Negociat sense publicitat,24377.0,29496.17,1
"COOPERATIVA POSANT EN COMÚ, SC",F66655887,Serveis,Redacció d’articles per a la revista BMM,Menor A Genèrica,200.0,242.0,1
COOPSOC: LABORATORI D'IDEES SO,F67190371,Serveis,Col·laboració Jurat Premi Montserrat Roig 2020,Menor A Genèrica,2150.0,2601.5,1
COORD.ENTITATS LLEIALTAT SANSE,G66881186,Serveis,Actes puntuals i no recurrents CMAS21,Menor A Genèrica,44.32,53.63,1
COORD.ENTITATS PRO PERSONES DI,V62858279,Subministraments,50 clauers Seminari Educació Inclusiva,Menor,175.0,175.0,1
COORDINADORA ACTIVITAT GRUPS R,G59349456,Serveis,Dinamització Bucs assaig La Sedeta,Obert simplificat,29290.49,35441.49,1
COORDINADORA DE GESTION INGRES,A81982225,Serveis,Assessorament inspecció xarxa transport aigua,Menor,14950.0,18089.5,1
COORDINADORA D'ENTITATS DEL PO,G59055525,Serveis,Cessió d'ús pista Tres Xemeneies a escoles Poble-s,Menor,4800.0,4800.0,1
COORDINADORA INSERCIO SOCIO-LA,G61879383,Serveis,Assessorament a famílies,Menor,14960.0,14960.0,1
"COPERNIC TECHNOLOGIES, SL",B67073130,Serveis,creació i manteniment d’una plataforma web,Obert,11035.2,13352.59,1
"COPREDIJE, S.A.",A82003815,Serveis,"Coord. seg. i salut enderroc c/Gomis, 106",Menor,475.0,574.75,1
COPY BLAU SL,B61393385,Serveis,GESTIÓ D'OBJECTES DPT COMUNICACIÓ,Menor A Genèrica,114.0,118.56,1
CORALMET CONSTRUCCIONES SL,B67093328,Obres,Reparació fusteries Plantes 1 i 2 bloc 2 Can Batll,Menor,34650.82,41927.49,1
CORP.CLD SERV.URBANOS TRATAMIE,B08173411,Serveis,Zona Oest,Obert,517039418.69,568743360.56,1
CORPORACIÓ CATALANA DE MITJANS,A08849622,Serveis,Serveis publicitat programa Joc de Cartes,Negociat sense publicitat,55000.0,66550.0,1
CORPORACION DE ORGANIZACIONE Y,A08811085,Serveis,Manteniment 3 Ecofuen-T-Plus,Menor,822.15,994.8,1
COSPLAAN SL,B63392955,Obres,Obres a la cruïlla c/Castellterçol i ptge. Manlleu,Menor,38564.55,46663.11,1
COSTA I CLIMENT SL,B62893227,Serveis,Direcció obra i CSS adequació OIT Edif Pi i Sunyer,Menor,5241.16,6341.8,1
COSTAISA SA,A08224826,Serveis,Tractament liquid. ingrés i prev. despesa Patrimon,Menor,14835.0,17950.35,1
COTCA SA,A08574816,Serveis,Ass. tècnica seg i salut sortida emer. edif. GU,Menor,990.0,1197.9,1
"COUNT TRANSPORT, SL",B64445414,Serveis,COMPTATGES ESCOLES PIES ENTRE CARRANCA I MILANESAT,Menor,875.0,1058.75,1
COVECAR,B60338001,Subministraments,Furgons esdeveniments Reis 2022,Menor,298.86,361.62,1
COYNSA DOS MIL S.L.,B59856351,Obres,Obres de millora del carrer Sant Salvador,Menor,32941.32,39859.0,1
CPM CONSTRUCCIONES PINTURA Y M,A60649522,Obres,Reforma parcial planta baixa PB Zona Franca,Menor,39714.42,48054.45,1
"CRC OBRAS Y SERVICIOS, S.L.",B15387855,Obres,BG - Pacificació del c. Taxdirt,Menor,35647.5,43133.48,1
"CREA INVERSIONS MOLINS, S.L.",B02697803,Serveis,Instruments Financers per a la Barcelona Innovatio,Menor,13500.0,16335.0,1
"CREA MOBILIARIO 2014, SL",B66815150,Subministraments,Subm.mobiliari i audiovisual mòduls CEM Fort Pienc,Menor,13500.87,16336.05,1
"CREACIENCIA, S.L.",B65212417,Serveis,Despeses producció esdeveniments Ciència 2021,Menor A Genèrica,2999.8,3629.76,1
